Wall time,Step,Value
1498141129.668386,0,0.1284855753183365
1498142033.766085,300,0.5251402258872986
1498142637.284579,500,0.5667467713356018
1498142942.974211,600,0.5903645753860474
1498143246.520498,700,0.5880809426307678
1498143550.441845,800,0.5792468190193176
1498143856.746538,900,0.6074919700622559
1498144163.008182,1000,0.6134615540504456
1498144467.624088,1100,0.6364383101463318
1498144776.177466,1200,0.6486979126930237
1498145076.450983,1300,0.6494390964508057
1498146299.960858,1700,0.6729968190193176
1498146603.054342,1800,0.6700921654701233
1498146912.370338,1900,0.673557698726654
1498147224.384785,2000,0.6801682710647583
1498147529.385422,2100,0.6842748522758484
1498147836.623258,2200,0.6904046535491943
1498148142.636082,2300,0.6868789792060852
1498148447.689178,2400,0.7048677802085876
1498148752.611221,2500,0.6953926086425781
1498149381.351298,2700,0.7026442289352417
1498149999.279385,2900,0.7062299847602844
1498150929.768777,3200,0.7141626477241516
1498151241.776097,3300,0.7011818885803223
1498151554.353619,3400,0.7180288434028625
1498151864.093535,3500,0.7309094667434692
1498152168.53168,3600,0.7189903855323792
1498152481.209316,3700,0.7226362228393555
1498152792.344004,3800,0.7263621687889099
1498153099.350203,3900,0.7307091355323792
1498153406.165905,4000,0.7270032167434692
1498153711.129477,4100,0.7278445363044739
1498154021.26154,4200,0.7360376715660095
1498154638.585669,4400,0.740504801273346
1498154948.291357,4500,0.7418469786643982
1498155255.330336,4600,0.7399038672447205
1498155560.589147,4700,0.7364182472229004
1498155870.14513,4800,0.745192289352417
1498156181.502415,4900,0.7438902258872986
1498156791.785604,5100,0.7463141083717346
1498157409.056041,5300,0.7431890964508057
1498157716.998712,5400,0.7471153736114502
1498158019.42836,5500,0.7500400543212891
1498158330.252268,5600,0.747776448726654
1498158643.249137,5700,0.758673906326294
1498158951.892795,5800,0.7511418461799622
1498159254.214257,5900,0.7450320720672607
1498159562.912477,6000,0.7443309426307678
1498159868.928005,6100,0.7544070482254028
1498160798.106784,6400,0.7596353888511658
1498161100.509613,6500,0.7530248165130615
1498162023.204483,6800,0.7546073794364929
1498162632.796381,7000,0.7631009817123413
1498162940.645372,7100,0.7594150900840759
1498163243.704381,7200,0.7563101053237915
1498163550.587094,7300,0.7607772350311279
1498164166.358838,7500,0.7626001834869385
1498164468.850718,7600,0.7653846144676208
1498164770.215396,7700,0.7607972621917725
1498165074.193737,7800,0.7605568766593933
1498165381.108778,7900,0.7680288553237915
1498165998.224279,8100,0.762620210647583
